Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-December-2022,782.00,789.90,743.85,754.55,767.119000915391656858,15294,2265,11732318.00,5623,36.77,46.05,-27.45
20-December-2022,766.90,781.70,766.90,777.20,776.976735316552250190,2622,653,2037233.00,1179,44.97,14.80,10.30
19-December-2022,780.00,781.70,770.15,776.30,776.817890191239975323,8105,984,6296109.00,5912,72.94,11.55,-3.70
16-December-2022,758.15,779.15,753.40,773.15,764.446667826692187228,5747,950,4393275.00,2536,44.13,25.75,15.00
15-December-2022,770.00,787.95,753.20,761.60,772.682137981728446917,9523,997,7358252.00,5449,57.22,34.75,-8.40
14-December-2022,743.25,773.95,741.00,770.05,761.322605888682382862,10223,994,7783001.00,6966,68.14,32.95,26.80
13-December-2022,730.10,748.75,726.70,740.15,737.852068126520681265,4110,797,3032572.00,1491,36.28,22.05,10.05
12-December-2022,738.50,756.35,725.30,728.80,742.375889111800109429,5483,859,4070447.00,1247,22.74,31.05,-9.70
9-December-2022,758.00,762.50,715.55,739.10,732.412375739975427231,26859,2576,19671864.00,13150,48.96,46.95,-18.90
8-December-2022,774.30,784.80,752.05,755.30,764.176139032409581963,6387,821,4880793.00,2470,38.67,32.75,-19.00
7-December-2022,786.95,798.95,761.75,773.20,784.475682459993724505,12748,1882,10000496.00,3300,25.89,37.20,-13.75
6-December-2022,751.95,815.25,745.60,783.65,784.781074997749167191,55535,4580,43582817.00,21575,38.85,69.65,31.70
5-December-2022,721.55,745.00,721.00,739.10,735.232938136494908040,13158,1555,9674195.00,7902,60.05,24.00,17.55
2-December-2022,725.00,749.80,716.70,719.65,730.820302058273188986,29928,2098,21871990.00,11184,37.37,33.10,-5.35
1-December-2022,725.05,758.45,714.30,718.55,733.601118133203694701,16456,1815,12072140.00,7535,45.79,44.15,-6.50
30-November-2022,724.25,749.80,720.80,726.05,731.125439266615737203,6545,862,4785216.00,2947,45.03,29.00,1.80
29-November-2022,735.10,743.05,721.95,727.10,733.346785225718194254,5848,505,4288612.00,2154,36.83,21.10,-8.00
28-November-2022,736.80,753.70,735.00,738.55,742.867683772538141470,3605,504,2678038.00,1313,36.42,18.70,1.75
25-November-2022,755.35,765.60,738.00,742.30,750.937465103294249022,3582,499,2689858.00,2469,68.93,27.60,-13.05
24-November-2022,760.70,773.25,753.95,758.80,766.511627906976744186,2709,442,2076480.00,636,23.48,19.30,-1.90
23-November-2022,760.00,760.00,738.15,757.05,745.376488666922781406,2603,370,1940215.00,1115,42.84,21.85,-2.95
22-November-2022,760.75,760.75,747.60,752.55,752.451282051282051282,3120,328,2347648.00,1966,63.01,13.15,-8.20
21-November-2022,750.00,760.50,740.05,756.10,755.423788546255506607,4540,824,3429624.00,1517,33.41,20.45,6.10
18-November-2022,764.90,770.55,750.00,755.05,762.046901528013582342,4712,1078,3590765.00,,,20.55,-9.85
17-November-2022,771.50,777.55,760.95,764.75,771.521313766596785464,1431,343,1104047.00,325,22.71,16.60,-6.75
16-November-2022,773.60,782.05,762.00,772.25,773.989158492514197212,1937,421,1499217.00,651,33.61,20.05,-1.35
15-November-2022,767.05,780.75,764.95,772.10,774.976646248085758039,2612,502,2024239.00,625,23.93,15.80,5.05
14-November-2022,761.25,784.10,756.80,773.25,770.481304693715194908,6285,778,4842475.00,1480,23.55,27.30,12.00
11-November-2022,755.80,784.00,746.60,757.55,760.691050295857988165,13520,2579,10284543.00,5365,39.68,37.40,1.75
10-November-2022,786.00,786.20,765.50,772.30,774.797804737146158290,6924,1289,5364700.00,2174,31.40,20.70,-13.70
9-November-2022,798.00,811.15,755.25,780.40,784.706884340250725972,28238,2775,22158553.00,9462,33.51,55.90,-17.60
7-November-2022,744.90,802.70,744.90,791.80,783.361800141743444365,19754,2126,15474529.00,10118,51.22,57.80,46.90
4-November-2022,764.30,784.65,753.00,760.25,769.308916083916083916,11440,1319,8800894.00,6358,55.58,31.65,-4.05
3-November-2022,766.35,770.60,756.05,765.75,765.112543962485345838,6824,1330,5221128.00,2668,39.10,14.55,-0.60
2-November-2022,741.40,784.35,741.40,763.50,763.501208761553511592,711472,1406,543209732.00,2570,0.36,42.95,22.10
1-November-2022,749.75,766.10,734.90,740.50,750.555295810106096025,5561,753,4173838.00,2532,45.53,31.20,-9.25
31-October-2022,725.00,753.95,712.95,745.75,729.105501130369253956,3981,556,2902569.00,1149,28.86,41.00,20.75
28-October-2022,730.30,733.95,715.00,724.45,726.861614712403808530,7667,1067,5572848.00,2850,37.17,18.95,-5.85
27-October-2022,746.60,760.95,708.35,725.20,725.907124053965120105,12156,1463,8824127.00,4976,40.93,52.60,-21.40
25-October-2022,765.40,773.00,744.70,750.45,758.705582922824302134,6090,916,4620517.00,1607,26.39,28.30,-14.95
24-October-2022,749.30,766.00,745.00,755.15,751.960665658093797276,661,153,497046.00,,,21.00,5.85
21-October-2022,760.00,771.00,738.10,744.85,753.517054029580440688,3313,653,2496402.00,1179,35.59,32.90,-15.15
20-October-2022,752.80,779.95,752.80,758.35,769.980955481403108976,12287,1618,9460756.00,4723,38.44,27.15,5.55
19-October-2022,760.00,785.55,747.15,764.75,765.734308319347878206,20855,2534,15969389.00,3601,17.27,38.40,4.75
18-October-2022,728.75,772.00,719.45,753.70,754.663212707763517778,19012,2532,14347657.00,3680,19.36,52.55,24.95
17-October-2022,708.45,737.10,706.85,729.10,722.610837943044458102,9762,1575,7054127.00,2419,24.78,30.25,20.65
14-October-2022,728.10,733.60,706.00,711.10,717.652196652719665271,3824,1008,2744302.00,1953,51.07,27.60,-17.00
13-October-2022,718.55,726.75,713.30,721.90,720.133957153410490027,8122,1245,5848928.00,1517,18.68,13.45,3.35
12-October-2022,713.05,727.25,704.95,718.05,716.128241758241758241,9100,1676,6516767.00,2005,22.03,22.30,5.00
11-October-2022,729.75,733.60,711.65,719.80,729.550548815713460427,202527,1331,147753684.00,197245,97.39,21.95,-9.95
10-October-2022,727.90,740.90,707.05,729.15,725.549267227938883691,6414,1342,4653673.00,1645,25.65,33.85,1.25
7-October-2022,719.90,737.45,702.15,732.95,718.341738027275610529,6306,1045,4529863.00,3516,55.76,35.30,13.05
6-October-2022,730.80,737.25,708.35,721.50,728.558323632130384167,8590,1231,6258316.00,2787,32.44,28.90,-9.30
4-October-2022,726.00,729.35,716.85,718.75,720.453174104336895034,11137,1210,8023687.00,4349,39.05,12.50,-7.25
3-October-2022,710.10,728.00,700.40,718.60,717.801586801838675146,15881,2129,11399407.00,7605,47.89,27.60,8.50
30-September-2022,683.40,728.05,683.40,720.40,709.992348927875243664,20520,2730,14569043.00,8508,41.46,44.65,37.00
29-September-2022,687.40,706.75,684.80,696.35,696.409826314537235308,8406,1427,5854021.00,3105,36.94,21.95,8.95
28-September-2022,679.75,708.30,672.05,683.10,688.376002290950744558,10476,1615,7211427.00,2531,24.16,36.25,3.35
27-September-2022,707.95,719.15,674.60,686.30,700.479528437151505496,12554,1591,8793820.00,5503,43.83,44.55,-21.65
26-September-2022,669.85,755.00,635.00,695.80,701.405804817153767072,54472,6496,38206977.00,,,120.00,25.95
23-September-2022,715.00,719.00,665.05,673.40,684.463800755116910644,15097,2714,10333350.00,5611,37.17,53.95,-41.60
22-September-2022,677.85,719.25,677.85,710.85,696.343406593406593406,5460,1398,3802035.00,1394,25.53,41.40,33.00
21-September-2022,696.15,700.00,682.00,690.80,689.562113842513474431,7607,1767,5245499.00,2754,36.20,18.00,-5.35
20-September-2022,685.00,701.30,677.05,697.10,688.597208946664117759,5231,1039,3602052.00,2471,47.24,24.25,12.10
19-September-2022,715.00,730.30,666.20,673.25,696.078684193974463802,15899,2759,11066955.00,4808,30.24,64.10,-41.75
16-September-2022,676.05,740.00,676.00,722.60,708.807718431614695893,16195,1727,11479141.00,3727,23.01,64.00,46.55
15-September-2022,693.50,700.70,673.85,682.45,690.257340761933443758,6641,924,4583999.00,3186,47.97,26.85,-11.05
14-September-2022,656.05,697.80,656.05,685.55,680.468828145209968095,11597,1711,7891397.00,5030,43.37,41.75,29.50
13-September-2022,687.75,703.15,654.10,662.40,680.953872633390705679,14525,2025,9890855.00,5329,36.69,49.05,-25.35
12-September-2022,670.10,693.90,670.10,687.75,687.085126374142628958,10643,1263,7312647.00,5077,47.70,23.80,17.65
