Company Name,Industry,Symbol,Market Cap,Bse
Hindustan Unilever Ltd.,FMCG - Personal Care,HINDUNILVR,Large,500696
Hindustan Zinc Ltd,Mining & Mineral products,HINDZINC,Mid,500188
Honeywell Automation India Ltd,Electronics - Components,HONAUT,Mid,517174
ICICI Bank Ltd.,Banks - Private Sector,ICICIBANK,Large,532174
ICICI Lombard General Insurance Company Ltd,Finance & Investments,ICICIGI,Large,540716
ICICI Prudential Life Insurance Company Ltd,Finance & Investments,ICICIPRULI,Large,540133
ICICI Securities Ltd,Finance & Investments,ISEC,Mid,541179
IDFC First Bank Ltd,Banks - Private Sector,IDFCFIRSTB,Mid,539437
Indiamart Intermesh Ltd,E-Commerce/App based Aggregator,INDIAMART,Mid,542726
Indian Bank,Banks - Public Sector,INDIANB,Mid,532814
Indian Energy Exchange Ltd,Finance & Investments,IEX,Mid,540750
Indian Hotels Co Ltd,Hotels,INDHOTEL,Mid,500850
Indian Oil Corporation Ltd.,Refineries,IOC,Large,530965
Indus Towers Ltd,Telecomm Equipment & Infra Services,INDUSTOWER,Large,534816
IndusInd Bank Ltd.,Banks - Private Sector,INDUSINDBK,Large,532187
Info Edge (India) Ltd,E-Commerce/App based Aggregator,NAUKRI,Large,532777
Infosys Ltd.,Computers - Software,INFY,Large,500209
Interglobe Aviation Ltd,Transport - Airlines,INDIGO,Large,539448
IOL Chemicals & Pharmaceuticals Ltd,Pharmaceuticals - Bulk Drugs & Formln,IOLCP,Small,524164
Ipca Laboratories Ltd,Pharmaceuticals - Bulk Drugs & Formln,IPCALAB,Mid,524494
IRB Infrastructure Developers Ltd,Construction,IRB,Small,532947
Ircon International Ltd,Construction,IRCON,Small,541956
ITC Ltd.,Tobacco Products,ITC,Large,500875
J B Chemicals & Pharmaceuticals Ltd,Pharmaceuticals - Bulk Drugs & Formln,JBCHEPHARM,Small,506943
Jindal Steel & Power Ltd,Steel,JINDALSTEL,Mid,532286
JK Lakshmi Cement Ltd,Cement & Cement Products,JKLAKSHMI,Small,500380
JSW Energy Ltd,Power Generation And Supply,JSWENERGY,Mid,533148
JSW Steel Ltd.,Steel,JSWSTEEL,Large,500228
Jubilant Foodworks Ltd,Hotels,JUBLFOOD,Mid,533155
Just Dial Ltd,E-Commerce/App based Aggregator,JUSTDIAL,Small,535648
K E C International Ltd,Transmisson Line Towers / Equipment,KEC,Small,532714
Kajaria Ceramics Ltd,Ceramics - Tiles / Sanitaryware,KAJARIACER,Small,500233
Kalpataru Projects International Ltd,Transmisson Line Towers / Equipment,KPIL,Small,522287
Karur Vysya Bank Ltd,Banks - Private Sector,KARURVYSYA,Small,590003
Kaveri Seed Company Ltd,Agriculture Seeds,KSCL,Small,532899
KEI Industries Ltd,Cables - Power,KEI,Small,517569
Kotak Mahindra Bank Ltd.,Banks - Private Sector,KOTAKBANK,Large,500247
L&T Finance Ltd,Finance & Investments,LTF,Mid,533519
L&T Technology Services Ltd,Computers - Software,LTTS,Mid,540115
Larsen & Toubro Ltd.,Infrastructure Developers & Operators,LT,Large,500510
Laurus Labs Ltd,Pharmaceuticals - Bulk Drugs & Formln,LAURUSLABS,Mid,540222
LIC Housing Finance Ltd,Finance - Housing,LICHSGFIN,Mid,500253
Linde India Ltd,Chemicals,LINDEINDIA,Mid,523457
LTIMindtree Ltd,Computers - Software,LTIM,Large,540005
Lupin Ltd,Pharmaceuticals - Bulk Drugs & Formln,LUPIN,Mid,500257
Lux Industries Ltd,Textiles - Composite,LUXIND,Small,539542
Mahindra & Mahindra Financial Services Ltd,Finance & Investments,M&MFIN,Mid,532720
Mahindra & Mahindra Ltd.,Automobiles - Passenger Cars,M&M,Large,500520
Marico Ltd,Solvent Extraction,MARICO,Large,531642
Maruti Suzuki India Ltd.,Automobiles - Passenger Cars,MARUTI,Large,532500
Max Financial Services Ltd,Finance & Investments,MFSL,Mid,500271
Max Healthcare Institute Ltd,Healthcare,MAXHEALTH,Mid,543220
Mazagon Dock Shipbuilders Ltd,Ship Building,MAZDOCK,Small,543237
Mishra Dhatu Nigam Ltd,Aerospace & Defence,MIDHANI,Small,541195
MRF Ltd,Tyres,MRF,Mid,500290
Multi Commodity Exchange of India Ltd,Finance & Investments,MCX,Small,534091
National Aluminium Company Ltd,Aluminium and Aluminium Products,NATIONALUM,Mid,532234
National Aluminium Company Ltd,Aluminium and Aluminium Products,NATIONALUM,Small,532234
Navin Fluorine International Ltd,Chemicals,NAVINFLUOR,Mid,532504
NBCC (India) Ltd,Construction,NBCC,Small,534309
Nestle India Ltd.,FMCG - Food Processing ,NESTLEIND,Large,500790
Nippon Life India Asset Management Ltd,Finance & Investments,NAM-INDIA,Mid,540767
NTPC Ltd.,Power Generation And Supply,NTPC,Large,532555
Oberoi Realty Ltd,Construction,OBEROIRLTY,Mid,533273
Oil & Natural Gas Corporation Ltd.,Oil Drilling / Allied Services,ONGC,Large,500312
Oil India Ltd,Oil Drilling / Allied Services,OIL,Mid,533106
Oracle Financial Services Software Ltd,Computers - Software,OFSS,Mid,532466
Page Industries Ltd,Textiles - Retail,PAGEIND,Mid,532827
Patanjali Foods Ltd,Solvent Extraction,PATANJALI,Mid,500368
Persistent Systems Ltd,Computers - Software,PERSISTENT,Mid,533179
Petronet LNG Ltd,Gas Distribution,PETRONET,Mid,532522
Pidilite Industries Ltd,Chemicals,PIDILITIND,Large,500331
PNB Housing Finance Ltd,Finance - Housing,PNB,Large,540173
PNB Housing Finance Ltd,Finance - Housing,PNBHOUSING,Small,540173
Polycab India Ltd,Cables - Power,POLYCAB,Mid,542652
Poonawalla Fincorp Ltd,Finance & Investments,POONAWALLA,Mid,524000
Power Finance Corporation Ltd,Finance & Investments,PFC,Mid,532810
Power Grid Corporation of India Ltd.,Power Generation And Supply,POWERGRID,Large,532898
Prestige Estates Projects Ltd,Construction,PRESTIGE,Mid,533274
Punjab National Bank,Banks - Public Sector,PNB,Mid,532461
PVR Inox Ltd,Entertainment / Electronic Media Software,PVRINOX,Small,532689
Quess Corp Ltd,Diversified,QUESS,Small,539978
Radico Khaitan Ltd,Breweries & Distilleries,RADICO,Small,532497
Rail Vikas Nigam Ltd,Construction,RVNL,Small,542649
Rain Industries Ltd,Advanced materials products,RAIN,Small,500339
Rallis India Ltd,Pesticides / Agrochemicals,RALLIS,Small,500355
REC Ltd,Finance & Investments,RECLTD,Mid,532955
Reliance Industries Ltd.,Refineries,RELIANCE,Large,500325
Rites Ltd,Infrastructure Developers & Operators,RITES,Small,541556
Rossari Biotech Ltd,Chemicals,ROSSARI,Small,543213
Route Mobile Ltd,Computers - Software,ROUTE,Small,543228
Samvardhana Motherson International Ltd,Auto Ancillaries,MOTHERSON,Mid,517334
SBI Cards & Payment Services Ltd,Finance & Investments,SBICARD,Large,543066
SBI Life Insurance Company Ltd,Finance & Investments,SBILIFE,Large,540719
Sequent Scientific Ltd,Pharmaceuticals - Bulk Drugs & Formln,SEQUENT,Small,512529
Shilpa Medicare Ltd,Pharmaceuticals - Bulk Drugs & Formln,SHILPAMED,Small,530549
Shree Cement Ltd.,Cement & Cement Products,SHREECEM,Large,500387
Shriram Finance Ltd,Finance & Investments,SHRIRAMFIN,Mid,511218
Siemens Ltd,Electric Equipment,SIEMENS,Large,500550
Sonata Software Ltd,Computers - Software,SONATSOFTW,Small,532221
SpiceJet Ltd,Transport - Airlines,SPICEJET,Small,500285
SRF Ltd,Chemicals,SRF,Large,503806
State Bank of India,Banks - Public Sector,SBIN,Large,500112
Steel Authority of India Ltd,Steel,SAIL,Mid,500113
Sterling & Wilson Renewable Energy Ltd,Infrastructure Developers & Operators,SWSOLAR,Small,542760
Sterlite Technologies Ltd,Cables - Telephone,STLTECH,Small,532374
Strides Pharma Science Ltd,Pharmaceuticals - Bulk Drugs & Formln,STAR,Small,532531
Sun Pharma Advanced Research Company Ltd,Pharmaceuticals - Bulk Drugs & Formln,SPARC,Small,532872
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals - Bulk Drugs & Formln,SUNPHARMA,Large,524715
Sun TV Network Ltd,Entertainment / Electronic Media Software,SUNTV,Mid,532733
Sunteck Realty Ltd,Construction,SUNTECK,Small,512179
Syngene International Ltd,Pharmaceuticals - Bulk Drugs & Formln,SYNGENE,Mid,539268
Tanla Platforms Ltd,Computers - Software,TANLA,Small,532790
Tata Chemicals Ltd,Chemicals,TATACHEM,Mid,500770
Tata Communications Ltd,Telecommunications - Service Provider,TATACOMM,Mid,500483
Tata Consultancy Services Ltd.,Computers - Software,TCS,Large,532540
Tata Consumer Products Ltd,Tea,TATACONSUM,Large,500800
Tata Elxsi Ltd,Computers - Software,TATAELXSI,Mid,500408
Tata Motors Ltd.,Automobiles - LCVs / HCVs,TATAMOTORS,Large,500570
Tata Motors-DVR,Automobiles - LCVs / HCVs,TATAMTRDVR,Large,570001
Tata Power Company Ltd,Power Generation And Supply,TATAPOWER,Large,500400
Tata Steel Ltd.,Steel,TATASTEEL,Large,500470
Tata Teleservices (Maharashtra) Ltd,Telecommunications - Service Provider,TTML,Mid,532371
Tech Mahindra Ltd.,Computers - Software,TECHM,Large,532755
The Ramco Cements Ltd,Cement & Cement Products,RAMCOCEM,Mid,500260
Thyrocare Technologies Ltd,Healthcare,THYROCARE,Small,539871
Titan Company Ltd.,Diamond Cutting / Jewellery,TITAN,Large,500114
Torrent Power Ltd,Power Generation And Supply,TORNTPOWER,Mid,532779
Trent Ltd,FMCD - Retail,TRENT,Mid,500251
Trident Ltd,Textiles - Cotton/Blended,TRIDENT,Mid,521064
Tube Investments of India Ltd,Auto Ancillaries,TIINDIA,Mid,540762
TV18 Broadcast Ltd,Entertainment / Electronic Media Software,TV18BRDCST,Small,532800
TVS Motor Company Ltd,Automobiles - Motorcycles / Mopeds,TVSMOTOR,Mid,532343
Ujjivan Small Finance Bank Ltd,Banks - Private Sector,UJJIVANSFB,Small,542904
UltraTech Cement Ltd.,Cement & Cement Products,ULTRACEMCO,Large,532538
Union Bank of India,Banks - Public Sector,UNIONBANK,Mid,532477
United Spirits Ltd,Breweries & Distilleries,MCDOWELL-N,Large,532432
UPL Ltd.,Pesticides / Agrochemicals,UPL,Large,512070
UTI Asset Management Company Ltd,Finance & Investments,UTIAMC,Small,543238
V I P Industries Ltd,Moulded Luggage,VIPIND,Small,507880
Vakrangee Ltd,Computers - Software,VAKRANGEE,Small,511431
Varun Beverages Ltd,FMCG - Food Processing ,VBL,Large,540180
Vedanta Ltd.,Mining & Mineral products,VEDL,Large,500295
Vodafone Idea Ltd,Telecommunications - Service Provider,IDEA,Mid,532822
Voltas Ltd,Air-conditioners,VOLTAS,Mid,500575
Welspun Living Ltd,Textiles - Products,WELSPUNLIV,Small,514162
Westlife Foodworld Ltd,Hotels,WESTLIFE,Small,505533
Whirlpool of India Ltd,Domestic Appliances,WHIRLPOOL,Mid,500238
Wipro Ltd.,Computers - Software,WIPRO,Large,507685
Wockhardt Ltd,Pharmaceuticals - Bulk Drugs & Formln,WOCKPHARMA,Small,532300
Yes Bank Ltd,Yes Bank Ltd,YESBANK,Mid,532648
Zee Entertainment Enterprises Ltd.,Entertainment / Electronic Media Software,ZEEL,Large,505537
Zydus Lifesciences Ltd,Pharmaceuticals - Bulk Drugs & Formln,ZYDUSLIFE,Large,532321
