,Fund House,Fund Name,Expense Ratio(%),Fund Size(in Cr),Risk,Sub Category,Returns(1yr),Returns(3yr),Returns(5yr),Expected Downside Risk(%)
349,ICICI Prudential Mutual Fund,ICICI Pru Ultra Short Term Fund,0.39,12447.0,Medium Risk,Ultra Short Duration Funds,5.7,5.9,6.7,0.78
32,Aditya Birla Sun Life Mutual Fund,Aditya Birla SL Low Duration Fund,0.39,10035.0,Medium Risk,Low Duration Funds,5.7,6.5,7.0,0.84
146,DSP Mutual Fund,DSP Bond Fund,0.39,333.0,Medium Risk,Medium Duration Funds,3.8,6.1,4.9,1.94
117,Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Low Duration Fund,0.39,175.0,Medium Risk,Low Duration Funds,5.0,6.0,6.5,1.37
589,PGIM India Mutual Fund,PGIM India Gilt Fund,0.39,135.0,Medium Risk,Gilt Mutual Funds,4.2,5.3,7.0,5.41
65,Axis Mutual Fund,AXIS Gilt Fund,0.39,133.0,Medium Risk,Gilt Mutual Funds,4.0,5.9,7.9,4.26
652,SBI Mutual Fund,SBI Magnum Low Duration Fund,0.4,7717.0,Medium Risk,Low Duration Funds,5.2,5.6,6.4,0.98
437,Kotak Mahindra Mutual Fund,Kotak Dynamic Bond Fund,0.4,1992.0,Medium Risk,Dynamic Bond,3.9,6.6,7.8,4.8
285,HSBC Mutual Fund,HSBC Medium Duration Fund,0.4,643.0,Medium Risk,Medium Duration Funds,4.2,7.0,6.7,4.4
398,Invesco Mutual Fund,Invesco India Medium Duration Fund,0.4,306.0,Medium Risk,Medium Duration Funds,3.5,,,0.19
453,Kotak Mahindra Mutual Fund,Kotak Low Duration Fund,0.43,7420.0,Medium Risk,Low Duration Funds,5.4,6.2,6.9,1.46
808,UTI Mutual Fund,UTI-Ultra Short Term Fund,0.44,2130.0,Medium Risk,Ultra Short Duration Funds,5.4,6.1,5.7,0.36
649,SBI Mutual Fund,SBI Magnum Gilt Fund,0.46,4301.0,Medium Risk,Gilt Mutual Funds,5.7,6.1,8.3,4.82
235,HDFC Mutual Fund,HDFC Gilt Fund,0.46,1739.0,Medium Risk,Gilt Mutual Funds,3.6,4.9,6.4,7.91
276,HSBC Mutual Fund,HSBC Gilt Fund,0.48,231.0,Medium Risk,Gilt Mutual Funds,5.0,5.4,7.1,8.37
426,JM Financial Mutual Fund,JM Medium to Long Duration Fund,0.48,19.0,Medium Risk,Medium to Long Duration Funds,2.5,4.8,3.1,0.36
26,Aditya Birla Sun Life Mutual Fund,Aditya Birla SL Income Fund,0.49,1496.0,Medium Risk,Medium to Long Duration Funds,3.5,7.1,7.7,5.34
229,HDFC Mutual Fund,HDFC Dynamic Debt Fund,0.49,527.0,Medium Risk,Dynamic Bond,4.6,7.3,6.1,1.35
240,HDFC Mutual Fund,HDFC Income Fund,0.51,528.0,Medium Risk,Medium to Long Duration Funds,3.8,5.2,6.1,7.21
485,Mahindra Manulife Mutual Fund,Mahindra Manulife Dynamic Bond Fund,0.51,66.0,Medium Risk,Dynamic Bond,3.4,4.4,,140.0
157,DSP Mutual Fund,DSP G-Sec Fund,0.54,430.0,Medium Risk,Gilt Mutual Funds,4.4,5.9,8.6,6.02
135,Canara Robeco Mutual Fund,Canara Robeco Gilt Fund,0.54,80.0,Medium Risk,Gilt Mutual Funds,4.3,5.1,7.0,7.27
316,ICICI Prudential Mutual Fund,ICICI Pru Gilt Fund,0.56,2692.0,Medium Risk,Gilt Mutual Funds,6.3,6.7,8.4,4.43
211,Franklin Templeton Mutual Fund,Franklin India G-Sec Fund,0.57,121.0,Medium Risk,Gilt Mutual Funds,3.5,4.1,6.3,82.5
454,Kotak Mahindra Mutual Fund,Kotak Medium Term Fund,0.58,1934.0,Medium Risk,Medium Duration Funds,4.0,7.0,6.6,5.07
303,ICICI Prudential Mutual Fund,ICICI Pru Bond Fund,0.6,2223.0,Medium Risk,Medium to Long Duration Funds,5.2,6.9,7.3,3.58
610,Quantum Mutual Fund,Quantum Dynamic Bond Fund,0.61,85.0,Medium Risk,Dynamic Bond,5.4,5.9,6.9,3.71
295,ICICI Prudential Mutual Fund,ICICI Pru All Seasons Bond Fund,0.62,6754.0,Medium Risk,Dynamic Bond,6.5,7.5,8.2,2.18
12,Aditya Birla Sun Life Mutual Fund,Aditya Birla SL Dynamic Bond Fund,0.64,1795.0,Medium Risk,Dynamic Bond,7.5,8.0,6.0,1.69
769,Union Mutual Fund,Union Medium Duration Fund,0.64,170.0,Medium Risk,Medium Duration Funds,2.3,,,0.26
186,Edelweiss Mutual Fund,Edelweiss Govt Securities Fund,0.66,119.0,Medium Risk,Gilt Mutual Funds,4.3,6.8,8.2,3.19
130,Canara Robeco Mutual Fund,Canara Robeco Dynamic Bond Fund,0.66,116.0,Medium Risk,Dynamic Bond,4.7,5.3,6.6,5.63
787,UTI Mutual Fund,UTI-Gilt Fund,0.67,517.0,Medium Risk,Gilt Mutual Funds,5.0,5.0,7.3,7.82
286,HSBC Mutual Fund,HSBC Medium to Long Duration Fund,0.68,41.0,Medium Risk,Medium to Long Duration Funds,2.7,4.5,6.5,31.82
118,Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Medium Duration Fund,0.69,37.0,Medium Risk,Medium Duration Funds,3.9,5.0,3.5,1.19
109,Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Dynamic Bond Fund,0.71,115.0,Medium Risk,Dynamic Bond,5.2,5.7,6.6,6.43
136,Canara Robeco Mutual Fund,Canara Robeco Income Fund,0.75,125.0,Medium Risk,Medium to Long Duration Funds,3.9,5.8,7.0,5.8
783,UTI Mutual Fund,UTI-Dynamic Bond Fund,0.81,469.0,Medium Risk,Dynamic Bond,12.5,11.0,6.3,0.75
626,SBI Mutual Fund,SBI Dynamic Bond Fund,0.87,2407.0,Medium Risk,Dynamic Bond,5.9,5.9,7.9,5.57
275,HSBC Mutual Fund,HSBC Flexi Debt Fund,0.94,54.0,Medium Risk,Dynamic Bond,1.7,32.4,13.3,23.41
795,UTI Mutual Fund,UTI-Medium Term Fund,1.0,54.0,Medium Risk,Medium Duration Funds,3.7,5.4,4.6,3.4
698,Sundaram Mutual Fund,Sundaram Medium Term Bond Fund,1.11,45.0,Medium Risk,Medium Duration Funds,2.5,5.0,5.3,28.75
777,UTI Mutual Fund,UTI-Bond Fund,1.29,285.0,Medium Risk,Medium to Long Duration Funds,12.0,10.4,4.4,0.39
761,Union Mutual Fund,Union Dynamic Bond Fund,1.29,92.0,Medium Risk,Dynamic Bond,2.6,4.7,6.0,60.0
