Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-August-2023,3431.00,3432.95,3280.20,3333.25,3350.595358492574652685,18787,2940,62947635.00,8436,44.90,152.75,-97.75
1-August-2023,3366.90,3434.85,3366.90,3414.90,3407.850731748583030200,47284,6186,161136814.00,27873,58.95,67.95,48.00
31-July-2023,3354.75,3375.00,3321.00,3366.85,3343.889603429796355841,7464,1121,24958792.00,3873,51.89,54.00,12.10
28-July-2023,3341.05,3357.85,3331.90,3354.75,3346.569573807507761783,21258,2520,71141376.00,9770,45.96,25.95,13.70
27-July-2023,3365.95,3367.70,3320.45,3329.50,3347.345699550823490267,6011,992,20120895.00,2434,40.49,47.25,-36.45
26-July-2023,3326.05,3359.35,3326.05,3352.50,3347.914285714285714285,6545,971,21912099.00,2921,44.63,33.30,26.45
25-July-2023,3310.05,3365.00,3310.05,3325.85,3340.990343952636030448,28376,3433,94803942.00,13341,47.02,54.95,15.80
24-July-2023,3310.00,3318.50,3283.25,3308.35,3299.952149692901014140,7001,978,23102965.00,1857,26.52,35.25,-1.65
21-July-2023,3302.05,3336.85,3293.75,3314.80,3318.430541442879953549,6889,1451,22860668.00,2443,35.46,43.10,12.75
20-July-2023,3351.55,3351.55,3297.40,3316.80,3312.697178418222463899,16551,3056,54828451.00,7440,44.95,54.15,-34.75
19-July-2023,3336.65,3351.65,3319.80,3330.80,3337.013969910961007061,6514,1064,21737309.00,1699,26.08,31.85,-5.85
18-July-2023,3345.00,3368.00,3319.20,3348.80,3348.170814043209876543,10368,1260,34713835.00,2728,26.31,48.80,3.80
17-July-2023,3364.95,3372.55,3327.75,3349.55,3348.262956669498725573,40018,3548,133990787.00,27528,68.79,44.80,-15.40
14-July-2023,3257.05,3364.00,3257.05,3346.10,3316.968733509234828496,22740,3113,75427869.00,10496,46.16,106.95,89.05
13-July-2023,3319.60,3319.60,3245.00,3256.80,3272.721228141520943472,14754,1773,48285729.00,5500,37.28,74.60,-62.80
12-July-2023,3263.05,3306.80,3235.00,3290.65,3280.452598010329647474,28849,3176,94637777.00,11731,40.66,71.80,27.60
11-July-2023,3186.05,3261.00,3185.45,3251.85,3241.094544851256208459,96441,3233,312574399.00,75490,78.28,75.55,65.80
10-July-2023,3196.65,3231.75,3159.20,3173.85,3198.883143586033583368,26263,3147,84012268.00,7424,28.27,72.55,-22.80
7-July-2023,3222.00,3248.00,3175.95,3184.45,3207.583113650756248067,67901,15802,217798101.00,31280,46.07,72.05,-37.55
6-July-2023,3268.95,3289.95,3207.55,3222.90,3234.407854642962859779,114862,16298,371510555.00,39701,34.56,82.40,-46.05
5-July-2023,3403.05,3414.00,3281.25,3309.95,3349.266760896970623066,104708,13693,350695024.00,31414,30.00,132.75,-93.10
4-July-2023,3570.00,3570.00,3387.20,3402.00,3438.851781468147483216,104717,11763,360106242.00,28212,26.94,182.80,-168.00
3-July-2023,3584.35,3664.90,3584.30,3629.05,3632.179501331082397246,30802,3982,111878393.00,15871,51.53,80.60,44.70
30-June-2023,3545.80,3599.00,3507.00,3582.45,3565.904553076228556687,15506,2794,55292916.00,7017,45.25,92.00,36.65
28-June-2023,3561.00,3566.60,3537.30,3545.85,3550.165924911559968047,8763,1851,31110104.00,3104,35.42,29.30,-15.15
27-June-2023,3548.00,3581.15,3520.00,3535.85,3542.860498076533711277,4939,919,17498188.00,1709,34.60,61.15,-12.15
26-June-2023,3515.05,3571.00,3515.05,3548.00,3547.128261235482242046,5941,783,21073489.00,1393,23.45,55.95,32.95
23-June-2023,3569.60,3569.60,3508.20,3537.35,3535.754961475601214102,8566,1531,30287277.00,3715,43.37,61.40,-32.25
22-June-2023,3588.60,3630.15,3550.15,3560.25,3595.449025219102128420,11182,1333,40204311.00,1726,15.44,80.00,-28.35
21-June-2023,3582.00,3584.75,3534.40,3570.30,3562.905993478016417406,8893,1276,31684923.00,3811,42.85,50.35,-11.70
20-June-2023,3494.60,3570.00,3467.60,3565.35,3525.152234993614303959,7830,1219,27601942.00,2650,33.84,102.40,70.75
19-June-2023,3546.00,3569.05,3490.00,3494.55,3523.743317500232839713,10737,2218,37834432.00,4454,41.48,79.05,-51.45
16-June-2023,3530.05,3559.60,3492.10,3539.85,3516.581228668941979522,8790,1881,30910749.00,2337,26.59,67.50,9.80
15-June-2023,3574.90,3608.10,3528.45,3533.20,3566.268916236601826121,12595,2711,44917157.00,6240,49.54,79.65,-41.70
14-June-2023,3585.05,3640.70,3564.00,3573.70,3601.669458848557372689,15042,1970,54176312.00,4215,28.02,76.70,-11.35
13-June-2023,3584.00,3639.05,3584.00,3594.00,3610.366208716222363752,10991,1538,39681535.00,3913,35.60,55.05,10.00
12-June-2023,3577.00,3615.45,3558.00,3592.30,3585.733948294695958247,8239,1603,29542862.00,3504,42.53,57.45,15.30
9-June-2023,3656.05,3683.40,3577.50,3582.10,3626.214108005268549685,6833,1349,24777921.00,2071,30.31,105.90,-73.95
8-June-2023,3734.95,3734.95,3645.15,3656.05,3673.052945657694261046,7876,1446,28928965.00,2146,27.25,89.80,-78.90
7-June-2023,3702.05,3740.00,3697.30,3726.80,3718.209552344025378921,22696,2136,84388484.00,15335,67.57,42.70,24.75
6-June-2023,3699.85,3722.00,3685.00,3705.55,3705.574678981752646992,4439,793,16449046.00,1743,39.27,37.00,5.70
